FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,"Altayskiy kray",Russia,2020-04-26 12:22:01,52.129671,82.530013,283,2,22,259,"Altayskiy kray,Russia"
,,"Amursk oblast",Russia,2020-04-26 12:22:01,53.413341,127.728064,36,0,5,31,"Amursk oblast,Russia"
,,"Arkhangelsk oblast",Russia,2020-04-26 12:22:01,64.0,44.0,167,1,22,144,"Arkhangelsk oblast,Russia"
,,"Astrahan oblast",Russia,2020-04-26 12:22:01,46.851463,47.466189,277,4,42,231,"Astrahan oblast,Russia"
,,"Belgorod oblast",Russia,2020-04-26 12:22:01,50.61074,36.58015,242,2,31,209,"Belgorod oblast,Russia"
,,"Briansk oblast",Russia,2020-04-26 12:22:01,53.25209,34.37167,599,3,90,506,"Briansk oblast,Russia"
,,"Vladimir oblast",Russia,2020-04-26 12:22:01,55.904195,40.898894,475,5,11,459,"Vladimir oblast,Russia"
,,"Volgograd oblast",Russia,2020-04-26 12:22:01,48.71939,44.50183,242,6,37,199,"Volgograd oblast,Russia"
,,"Vologda oblast",Russia,2020-04-26 12:22:01,59.535619,38.817767,145,0,33,112,"Vologda oblast,Russia"
,,"Voronezh oblast",Russia,2020-04-26 12:22:01,51.67204,39.1843,338,8,42,288,"Voronezh oblast,Russia"
,,"Jewish Autonomous oblast",Russia,2020-04-26 12:22:01,48.522902,132.257612,86,0,9,77,"Jewish Autonomous oblast,Russia"
,,"Zabaykalskiy kray",Russia,2020-04-26 12:22:01,52.0,117.0,90,0,13,77,"Zabaykalskiy kray,Russia"
,,"Ivanovo oblast",Russia,2020-04-26 12:22:01,56.99719,40.97139,274,2,70,202,"Ivanovo oblast,Russia"
,,"Irkutsk oblast",Russia,2020-04-26 12:22:01,57.100294,106.363305,87,4,25,58,"Irkutsk oblast,Russia"
,,"Republic of Kabardino-Balkaria",Russia,2020-04-26 12:22:01,43.355,42.43917,300,1,21,278,"Republic of Kabardino-Balkaria,Russia"
,,"Kaliningrad oblast",Russia,2020-04-26 12:22:01,54.70649,20.51095,236,3,59,174,"Kaliningrad oblast,Russia"
,,"Kaluga oblast",Russia,2020-04-26 12:22:01,54.5293,36.27542,583,8,25,550,"Kaluga oblast,Russia"
,,"Kamchatskiy kray",Russia,2020-04-26 12:22:01,61.350179,169.782981,110,0,5,105,"Kamchatskiy kray,Russia"
,,"Republic of Karachaevo-Cherkessia",Russia,2020-04-26 12:22:01,43.770947,41.753928,282,1,4,277,"Republic of Karachaevo-Cherkessia,Russia"
,,"Kemerovo oblast",Russia,2020-04-26 12:22:01,55.33333,86.08333,103,1,11,91,"Kemerovo oblast,Russia"
,,"Kirov oblast",Russia,2020-04-26 12:22:01,58.59665,49.66007,362,3,37,322,"Kirov oblast,Russia"
,,"Kostroma oblast",Russia,2020-04-26 12:22:01,58.456003,43.788495,148,3,11,134,"Kostroma oblast,Russia"
,,"Krasnodarskiy kray",Russia,2020-04-26 12:22:01,44.98811,38.97675,780,19,122,639,"Krasnodarskiy kray,Russia"
,,"Krasnoyarskiy kray",Russia,2020-04-26 12:22:01,58.0,93.0,508,5,59,444,"Krasnoyarskiy kray,Russia"
,,"Kurgan oblast",Russia,2020-04-26 12:22:01,55.45,65.33333,29,0,4,25,"Kurgan oblast,Russia"
,,"Kursk oblast",Russia,2020-04-26 12:22:01,51.535008,36.121347,456,4,38,414,"Kursk oblast,Russia"
,,"Leningradskaya oblast",Russia,2020-04-26 12:22:01,60.0,32.0,700,0,56,644,"Leningradskaya oblast,Russia"
,,"Lipetsk oblast",Russia,2020-04-26 12:22:01,52.60311,39.57076,306,2,64,240,"Lipetsk oblast,Russia"
,,"Magadan oblast",Russia,2020-04-26 12:22:01,62.575815,154.036835,88,0,2,86,"Magadan oblast,Russia"
