" ","23.02.2020","24.02.2020","25.02.2020","26.02.2020","27.02.2020","28.02.2020","29.02.2020","01.03.2020","02.03.2020","03.03.2020","04.03.2020","05.03.2020","06.03.2020","07.03.2020","08.03.2020","09.03.2020","10.03.2020","11.03.2020","12.03.2020","13.03.2020","14.03.2020","15.03.2020","16.03.2020","17.03.2020","18.03.2020","19.03.2020","20.03.2020","21.03.2020","22.03.2020","23.03.2020","24.03.2020","25.03.2020","26.03.2020","27.03.2020","28.03.2020","29.03.2020","30.03.2020","31.03.2020","01.04.2020","02.04.2020","03.04.2020","04.04.2020","05.04.2020","06.04.2020","07.04.2020","08.04.2020","09.04.2020","10.04.2020","11.04.2020","12.04.2020","13.04.2020","14.04.2020","15.04.2020","16.04.2020","17.04.2020","18.04.2020","19.04.2020","20.04.2020","21.04.2020","22.04.2020","23.04.2020","24.04.2020","25.04.2020"
Автономная Республика Аджария,2.9,1.8,2.2,1.8,1.8,2.1,2.5,3.2,2.1,2.4,1.9,1.9,2,2.4,2.6,2.1,2,2,2.2,2.2,2.7,2.9,2.7,2.8,3,3.1,3.3,3.6,3.8,3.4,3.7,3.7,3.8,3.6,3.8,4.1,3.8,3.7,3.8,3.8,3.6,3.9,3.9,3.7,3.9,3.6,3.9,3.6,3.7,4,3.6,3.5,3.6,4,4.1,4.3,4.4,4.2,4.5,4.3,4.1,3.9,4.1
Акмолинская область,2.55,0.8500000000000001,0.8500000000000001,0.8999999999999999,1.4500000000000002,0.8,1.9500000000000002,2.45,0.75,0.65,0.65,0.6000000000000001,0.7,1.9,2.5,2.45,0.7,0.7,0.7,0.7,2.0999999999999996,2.7,1.4,1.5499999999999998,1.65,1.9,1.9500000000000002,2.9,3.35,3.1,2.95,2.9000000000000004,2.15,2.25,3.0999999999999996,3.5,2.95,3,3.3499999999999996,3.45,3.4,3.8,4.05,3.3,3.3,3.25,3.3,3.15,3.4000000000000004,3.75,3,3.25,3.25,3.25,3.2,3.5,3.75,3.05,2.9,2.9,3,3.1,3.3499999999999996
Актюбинская область,2.5,1.2,1.1,1.2,1.2,1.1,2,2.5,1,1,1,0.9,1,1.9,2.3,2.3,1.1,1,1,1,2,2.6,1.6,1.7,1.8,1.8,1.9,2.6,2.8,2.8,2.7,2.6,1.9,2,2.7,3,1.9,2.9,3,3,3.1,3.5,3.6,3,3.7,3.7,3.6,3.4,3.5,3.8,3.4,3.3,3.2,3.3,3.2,3.5,3.7,3.4,3.3,3.4,3.3,3.3,3.6
Алматинская область,2.5999999999999996,1.15,1.0750000000000002,1.075,1.325,1.0750000000000002,1.95,2.3499999999999996,0.9249999999999999,1.025,0.9750000000000001,0.875,1,2.075,2.375,2.5,0.975,0.975,0.9500000000000001,0.9750000000000001,1.95,2.45,1.625,1.7,1.7750000000000001,2.175,2.25,2.7750000000000004,3.275,3.3,3.0999999999999996,3.15,2.55,2.5,3.15,3.4499999999999997,2.875,2.85,3.325,3.375,3.275,3.5250000000000004,3.725,3.25,3.2,3.425,3.5,3.3249999999999997,3.45,3.6,3.2499999999999996,3.05,3.5999999999999996,3.5,3.375,3.6,3.7249999999999996,3.35,3.25,3.2750000000000004,3.2249999999999996,3.325,3.475
Алтайский край,2.8,2.95,1.25,1.2,1.25,1.35,2.5,2.9,1.225,1.15,1.225,1.125,1.1,2.375,2.925,3.1500000000000004,1.35,1.2,1.2,1.1,2.375,3.025,1.225,1.15,1.2,1.25,1.375,2.5250000000000004,3.1500000000000004,1.475,1.45,1.4249999999999998,1.4249999999999998,1.5,2.9,3.3,2.625,2.875,3.175,3.3,3.1750000000000003,3.6,3.8,2.7,2.625,2.7250000000000005,2.675,2.5250000000000004,3.05,3.375,2.4749999999999996,2.35,2.425,2.4,2.25,2.95,3.2,2.3000000000000003,2.1999999999999997,2.2,2.3,2.175,2.8
Амурская область,2.6,2.733333333333333,0.9666666666666667,0.9666666666666667,0.9,0.8333333333333334,2.033333333333333,2.466666666666667,0.9,0.8333333333333334,0.8333333333333334,0.7333333333333334,0.7666666666666666,1.9000000000000001,2.4333333333333336,2.7000000000000006,0.9,0.8666666666666667,0.9666666666666667,0.9333333333333332,2.0666666666666664,2.6999999999999997,0.8666666666666667,0.8000000000000002,0.9333333333333332,0.8666666666666667,0.8666666666666667,2.0666666666666664,2.6666666666666665,1.1666666666666667,1.0999999999999999,1.1666666666666667,1.3333333333333333,1.2333333333333334,2.6,3.1666666666666665,2.2666666666666666,2.466666666666667,2.5666666666666664,2.733333333333333,2.5666666666666664,3.233333333333333,3.4333333333333336,2.2666666666666666,2.3333333333333335,2.1999999999999997,2.1,1.9333333333333336,2.533333333333333,2.9333333333333336,1.6333333333333335,1.6333333333333335,1.5,1.5333333333333332,1.5,2.4,3.1,2.1666666666666665,2.0666666666666664,2.033333333333333,1.8333333333333333,1.7666666666666666,2.4666666666666663
Архангельская область,3.033333333333333,3.1,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3666666666666665,2.533333333333333,2.9333333333333336,1.3666666666666665,1.3333333333333333,1.2666666666666666,1.2666666666666666,1.2666666666666666,2.4000000000000004,2.6999999999999997,3.033333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3,2.5,3,1.3666666666666665,1.3,1.4333333333333333,1.7333333333333332,1.7333333333333332,2.8333333333333335,3.233333333333333,1.8,1.7333333333333332,1.7333333333333332,1.8,1.8666666666666665,3.4,3.7999999999999994,3.1666666666666665,3.3333333333333335,3.5,3.533333333333333,3.4,3.9,3.966666666666667,3.0999999999999996,3.0666666666666664,3.033333333333333,3.0999999999999996,2.966666666666667,3.4666666666666663,3.733333333333333,2.8666666666666667,2.7999999999999994,2.8333333333333335,2.8333333333333335,2.766666666666667,3.4333333333333336,3.6333333333333333,2.766666666666667,2.7000000000000006,2.8000000000000003,2.866666666666667,2.733333333333333,3.466666666666667
Астраханская область,2.4,2.7,0.9,0.7,0.8,0.7,1.9,2.6,0.8,0.7,0.6,0.5,0.7,2,2.4,2.6,0.7,0.7,0.7,0.6,1.8,2.5,0.9,0.8,1.2,1.5,1.4,2.3,2.7,1.3,1.2,1.3,1.2,1.3,2.6,3.5,2.9,3.4,3.7,3.7,3.5,3.8,4,3.1,3.1,3,3,2.9,3.3,3.9,3.1,3,3,3,2.9,3.4,3.6,2.9,2.9,2.8,2.9,2.8,3.2
Атырауская область,2.3,0.7,0.8,0.8,0.8,0.8,1.8,2.2,0.7,0.7,0.7,0.6,0.7,1.8,2.1,2.1,0.6,0.6,0.7,0.6,1.6,2.2,1.5,1.4,1.5,1.8,1.7,2.4,2.6,2.5,2.5,2.4,1.7,1.8,2.7,3,2.7,3,3.1,3.2,3.3,3.4,3.7,3.1,3.3,3.2,3.2,3.1,3.2,3.5,3.1,3,2.8,3.3,3.8,4,4,3.5,3.5,3.5,3.5,3.5,3.7
Байконур,3.8,3.8,2,2.1,2,1.9,3.2,3.5,2.1,2,2,1.9,2.1,3.3,3.6,3.8,1.9,1.8,1.9,1.8,2.9,3.6,2.3,2.4,2.5,2.6,2.5,3.6,3.8,2.9,2.7,2.9,2.7,2.6,3.7,4.1,3.8,3.8,3.9,4,3.9,4,4.3,3.6,3.6,3.6,3.6,3.5,3.9,4.1,3.5,3.4,3.5,3.4,3.4,3.9,4,3.4,3.2,3.4,3.3,3.4,3.8
Баку,2.8,1.7,1.8,1.8,1.7,1.8,2.4,3,2,2.1,2,2.1,1.9,2.3,2.8,2.6,2,2,2,2,2.5,3,2.2,2.4,2.4,2.5,3.2,3.3,3.5,3.2,3.3,3.3,3.3,3.3,3.5,3.9,3.6,3.6,3.7,3.8,3.8,3.9,4.6,4.1,4.1,4,4,3.9,4,4.3,3.8,3.9,3.8,3.8,3.7,3.9,4.1,3.6,3.6,3.6,3.7,3.6,3.8
Белгородская область,2.8333333333333335,3.033333333333333,1.0999999999999999,1.0999999999999999,1.0333333333333334,1.1333333333333335,2.2666666666666666,2.6,1.1333333333333335,1.0333333333333334,0.9333333333333332,0.8333333333333334,0.9666666666666668,2.1333333333333333,2.3333333333333335,2.7000000000000006,0.8333333333333334,0.9333333333333332,1,0.9333333333333332,2.2333333333333334,3,1.0999999999999999,0.9666666666666668,0.9333333333333332,1.0333333333333334,1,2.3,3.0999999999999996,1.4666666666666668,1.4000000000000001,1.3333333333333333,1.2666666666666666,1.2333333333333334,2.7000000000000006,3.3666666666666667,2.8000000000000003,3.0666666666666664,3.266666666666667,3.233333333333333,3.0333333333333337,3.466666666666667,3.766666666666667,2.766666666666667,2.6999999999999997,2.6999999999999997,2.533333333333333,2.4,3,3.4333333333333336,2.266666666666667,2.266666666666667,2.3666666666666667,2.4,2.3333333333333335,3.0666666666666664,3.533333333333333,2.5,2.3666666666666667,2.3666666666666667,2.266666666666667,2.1666666666666665,2.7999999999999994
Бендеры,3.6,4,2.7,2.5,2.6,2.5,3.3,3.5,2.8,2.5,2.5,2.4,2.4,3.1,3.3,3.7,2.5,2.4,2.5,2.4,3.3,3.8,3.1,3.1,3.3,3.4,3.6,3.9,4.5,3.8,4,4,3.9,4,4.1,4.4,4,4,4,4.1,4.1,4.4,4.5,4.1,4,4,4,4,4.3,4.4,4.1,4,4,3.9,3.9,4.3,4.3,4.5,4.1,4.1,4,3.9,4.2
Бишкек,2.2,0.8,0.5,0.5,0.7,0.6,1.3,1.9,0.4,0.5,0.4,0.4,0.6,1.6,2.1,0.9,0.5,0.4,0.5,0.5,1.3,2,1,1.1,1.2,1.5,1.6,2.5,3.1,2.6,2.7,3.4,3.9,3.8,4.1,4.2,3.8,3.9,4.1,4.2,4,4.2,4.3,4,4,4.1,4.3,4.1,4.1,4.2,4,3.9,4,3.9,3.8,3.9,4,3.7,3.7,3.7,3.8,3.8,4
Брестская область,3.1666666666666665,1.5666666666666667,1.3999999999999997,1.3,1.3666666666666665,1.3,2.6999999999999997,3.266666666666667,1.4666666666666668,1.2,1.3,1.2333333333333334,1.2666666666666666,2.4666666666666663,2.933333333333333,1.4666666666666668,1.2333333333333332,1.3333333333333333,1.2333333333333332,1.2333333333333332,2.8333333333333335,3.1666666666666665,1.3999999999999997,1.2666666666666666,1.2666666666666666,1.3,1.2666666666666666,2.766666666666667,3.4666666666666663,1.5999999999999999,1.4333333333333336,1.4000000000000001,1.4333333333333336,1.4333333333333336,2.6333333333333333,3.0666666666666664,2,1.8,1.8999999999999997,2,2.033333333333333,2.766666666666667,3.5,2.033333333333333,1.9666666666666668,1.9333333333333336,1.9666666666666668,2.033333333333333,3.1,3.5333333333333337,2.1333333333333333,2.1,2.1999999999999997,2.1999999999999997,2.1333333333333333,3.3666666666666667,3.6666666666666665,2.4,2,1.9333333333333336,1.9333333333333336,1.8666666666666665,2.9
Брянская область,2.75,2.8499999999999996,1,1.15,1.1,1.05,2.25,2.6500000000000004,1.15,1.05,0.95,0.8500000000000001,0.9,1.9,2.5,2.75,0.9,0.95,0.95,0.95,2.25,3,1.05,1,1,1.05,1.25,2.4,2.95,1.5,1.4,1.45,1.4,1.45,2.7,3.25,2.8499999999999996,3.25,3.5,3.6,3.45,3.8,4,3.1,3.1,3.05,2.95,2.9,3.5,3.75,2.75,2.9,2.8499999999999996,2.9,2.8499999999999996,3.55,3.9,3,2.8,2.75,2.75,2.7,3.2
Бухарская область,2.8,1.3,1.3,1.5,1.5,1.5,1.8,2.7,1.2,1.3,1.3,1.2,1.3,1.9,2.8,1.3,1.2,1.2,1.3,1.3,1.8,2.7,1.9,2.1,2,2.1,2.3,3.1,3.3,3.1,2.7,3,3,3.1,3.8,4,4,4,3.9,3.9,3.8,4,4.1,3.9,4.1,4.3,4.2,4,4.2,4.4,4.1,4.1,4,4,3.9,4,4.2,3.8,3.8,3.8,3.9,3.9,4
Витебская область,3.2,1.4,1.2,1.3,1.4,1.3,2.8,3.4,1.3,1.3,1.3,1.4,1.3,2.7,3,1.4,1.3,1.3,1.3,1.4,3,3.4,1.5,1.4,1.5,1.4,1.4,3,3.5,1.7,1.6,1.6,1.5,1.5,2.7,3.4,2.1,2.2,2.5,2.6,2.5,3.2,3.9,2.5,2.4,2.5,2.5,2.4,3.5,3.8,2.4,2.4,2.6,2.6,2.5,3.5,4,2.4,2.3,2.2,2.2,2.1,3.1
